W,V,A,flow (L/min,r/sec,Temp ©
1.65,3.00,0.55,0.2,5.00,25
1.77,3.10,0.57,0.2,5.00,25.4
1.86,3.20,0.58,0.20,6.00,25.60
1.98,3.30,0.60,0.20,6.00,25.70
2.11,3.40,0.62,0.30,7.00,25.80
2.35,3.50,0.67,0.30,7.00,26.00
2.45,3.60,0.68,0.30,8.00,26.00
2.59,3.70,0.70,0.30,8.00,26.00
2.70,3.80,0.71,0.30,9.00,26.00
2.85,3.90,0.73,0.30,9.00,26.00
2.96,4.00,0.74,0.40,10.00,26.00
3.07,4.10,0.75,0.40,11.00,26.10
3.23,4.20,0.77,0.40,11.00,26.10
3.35,4.30,0.78,0.50,11.00,26.00
3.52,4.40,0.80,0.50,12.00,26.00
3.65,4.50,0.81,0.50,13.00,25.90
3.82,4.60,0.83,0.50,13.00,25.80
4.00,4.70,0.85,0.60,14.00,25.60
4.18,4.80,0.87,0.60,14.00,25.60
4.31,4.90,0.88,0.60,15.00,25.60
4.50,5.00,0.90,0.60,15.00,25.70
4.64,5.10,0.91,0.70,16.00,25.90
4.89,5.20,0.94,0.70,17.00,26.00
5.03,5.30,0.95,0.70,18.00,26.10
5.24,5.40,0.97,0.70,18.00,26.10
5.45,5.50,0.99,0.70,18.00,26.10
5.60,5.60,1.00,0.80,19.00,26.10
5.81,5.70,1.02,0.80,20.00,26.10
6.03,5.80,1.04,0.80,20.00,26.10
6.20,5.90,1.05,0.90,21.00,26.20
6.36,6.00,1.06,1.00,23.00,26.40
6.59,6.10,1.08,1.00,23.00,26.50
6.82,6.20,1.10,1.00,24.00,26.60
6.99,6.30,1.11,1.10,25.00,26.60
7.17,6.40,1.12,1.10,25.00,26.50
7.41,6.50,1.14,1.10,25.00,26.40
7.59,6.60,1.15,1.10,26.00,26.40
7.84,6.70,1.17,1.10,27.00,26.50
8.09,6.80,1.19,1.10,27.00,26.60
8.28,6.90,1.20,1.10,27.00,26.60
8.54,7.00,1.22,1.20,28.00,26.60
8.73,7.10,1.23,1.20,29.00,26.60
8.93,7.20,1.24,1.20,29.00,26.50
9.20,7.30,1.26,1.30,30.00,26.50
9.47,7.40,1.28,1.30,31.00,26.40
9.75,7.50,1.30,1.30,31.00,26.50
10.03,7.60,1.32,1.40,32.00,26.50
10.24,7.70,1.33,1.40,32.00,26.60
10.84,7.80,1.39,1.40,33.00,26.80
11.14,7.90,1.41,1.40,33.00,26.90
11.36,8.00,1.42,1.40,34.00,27.10
11.75,8.10,1.45,1.40,35.00,27.20
11.56,8.20,1.41,1.50,36.00,27.40
11.87,8.30,1.43,1.50,36.00,27.50
12.26,8.40,1.46,1.60,37.00,27.60
12.58,8.50,1.48,1.60,38.00,27.70
12.90,8.60,1.50,1.60,39.00,27.80
13.14,8.70,1.51,1.70,39.00,28.00
13.46,8.80,1.53,1.70,40.00,28.10
13.71,8.90,1.54,1.70,40.00,28.20
13.95,9.00,1.55,1.80,40.00,28.40
14.29,9.10,1.57,1.80,41.00,28.50
14.72,9.20,1.60,1.80,41.00,28.40
15.07,9.30,1.62,1.80,41.00,28.40
15.42,9.40,1.64,1.80,42.00,28.60
15.87,9.50,1.67,1.90,43.00,28.70
16.22,9.60,1.69,1.90,45.00,28.80
16.49,9.70,1.70,1.90,45.00,28.80
16.95,9.80,1.73,2.00,46.00,28.60
17.82,9.90,1.80,2.00,46.00,28.50
18.20,10.00,1.82,2.10,47.00,28.60
18.58,10.10,1.84,2.10,47.00,28.70
18.87,10.20,1.85,2.10,49.00,28.80
19.36,10.30,1.88,2.20,49.00,29.00
19.76,10.40,1.90,2.20,49.00,29.10
20.06,10.50,1.91,2.20,49.00,29.40
20.35,10.60,1.92,2.20,51.00,29.50
20.65,10.70,1.93,2.20,52.00,29.70
21.06,10.80,1.95,2.30,52.00,29.80
21.47,10.90,1.97,2.30,52.00,29.90
21.89,11.00,1.99,2.30,52.00,30.00
22.20,11.10,2.00,2.30,53.00,30.10
22.74,11.20,2.03,2.30,54.00,30.20
23.17,11.30,2.05,2.30,54.00,30.10
23.60,11.40,2.07,2.30,54.00,30.00
23.92,11.50,2.08,2.30,54.00,29.90
24.36,11.60,2.10,2.30,54.00,30.00
24.69,11.70,2.11,2.30,54.00,30.10
25.37,11.80,2.15,2.30,54.00,30.20
25.47,11.90,2.14,2.30,54.00,30.30
25.92,12.00,2.16,2.30,54.00,30.40
26.26,12.10,2.17,2.40,55.00,30.60
26.72,12.20,2.19,2.40,56.00,30.80
26.94,12.30,2.19,2.50,57.00,31.00
27.28,12.40,2.20,2.50,58.00,31.20
27.63,12.50,2.21,2.50,58.00,31.30
28.10,12.60,2.23,2.50,58.00,31.40
28.58,12.70,2.25,2.50,58.00,31.40
28.80,12.80,2.25,2.50,58.00,31.50
29.41,12.90,2.28,2.50,57.00,31.60
29.51,13.00,2.27,2.50,57.00,31.50
